,Address,Price per month €,Capacity,Link
3824,"Capital Dock Residence, Grand Canal Dk, Dublin 2, D02P524",2650.0,"1 bed, 1 bath, 600ft 2, , Apartment",https://www.myhome.ie/rentals/brochure/capital-dock-residence-grand-canal-dk-dublin-2-d02p524/4507352
507,"Newtownpark Avenue, Blackrock, Co. Dublin",2650.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Newtownpark-Avenue-Blackrock-Co-Dublin/5422816/
6280,"Lansdowne Park, Ballsbridge, Dublin 4",2650.0,"3 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-lansdowne-park-ballsbridge-dublin-4/3288274
2494,"Apartment 1, Fortlands",2650.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-1-Fortlands/5458307
3668,"The Cottage , The Rath, Sandyhill, Rolestown, Co Dublin, Rolestown,   North County Dublin",2650.0,"5 beds, 3 baths, 3000ft 2, , Semi-Detached",https://www.myhome.ie/rentals/brochure/the-cottage-the-rath-sandyhill-rolestown-co-dublin-rolestown-north-county-dublin/4492716
2931,Lansdowne Park,2650.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Lansdowne-Park/5239514
1168,"Apartment 8, Block D Butlers Court, Grand Canal Dock, Dublin 2",2650.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-8-Block-D-Butlers-Court-Grand-Canal-Dock-Dublin-2/5208480/
2987,"Apartment 8, Block D Butlers Court",2650.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-8-Block-D-Butlers-Court/5208480
2883,"98A Briarfield Road, Kilbarrack",2650.0,"3 bedrooms (3 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/98A-Briarfield-Road-Kilbarrack/5268115
6288,"31 Castle Way, Golden Lane, Dublin 8",2650.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-31-castle-way-golden-lane-dublin-8/3423098
6287,"Apartment 8, Block D Butlers Court, Grand Canal Dock, Dublin 2",2650.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-8-block-d-butlers-court-grand-canal-dock-dublin-2/3282594
3808,"Vantage Phase 1, Central Park, Leopardstown, Dublin 18, Dublin 18, Dublin",2650.0,"3 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/vantage-phase-1-central-park-leopardstown-dublin-18-dublin-18-dublin/4481362
6284,"Opus, 6 Hanover Quay, Hanover Quay, Dublin 2",2650.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-1-bed-apartment-opus-6-hanover-quay-hanover-quay-dublin-2/2607603
6283,"Apartment 1, Fortlands, Dublin 4",2650.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-1-fortlands-dublin-4/3433523
1072,"Lansdowne Park, Ballsbridge, Dublin 4",2650.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Lansdowne-Park-Ballsbridge-Dublin-4/5239514/
6282,"98A Briarfield Road, Kilbarrack, Dublin 5",2650.0,"3 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-98a-briarfield-road-kilbarrack-dublin-5/3411860
2295,"1-bed Apartment, Opus, 6 Hanover Quay, Hanover Quay, Dublin 2",2650.0,"1 bedroom (1 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/1-bed-Apartment-Opus-6-Hanover-Quay-Hanover-Quay-Dublin-2/2087577/
294,"Apartment 1, Fortlands, Dublin 4",2650.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-1-Fortlands-Dublin-4/5458307/
6281,"Newtownpark Avenue, Blackrock, Co. Dublin",2650.0,"3 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-newtownpark-avenue-blackrock-co-dublin/3429624
728,"31 Castle Way, Golden Lane, Dublin 8",2650.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/31-Castle-Way-Golden-Lane-Dublin-8/5364915/
3644,"1-Bed Apartment, Opus, 6 Hanover Quay, Hanover Quay, Dublin 2, Co. Dublin",2650.0,"1 bedroom (1 double), 1 bathroom apartment",https://www.let.ie/property-to-rent/1-Bed-Apartment-Opus-6-Hanover-Quay-Hanover-Quay-Dublin-2-Co-Dublin/2087577
