,Address,Price per month €,Capacity,Link
4268,"Bowbridge Place, Kilmainham, Dublin 8",0.0,Apartment,https://www.myhome.ie/rentals/brochure/bowbridge-place-kilmainham-dublin-8/4411211
4176,"Sean McDermott Street Apartments, Sean McDermott Street Lower, Dublin 1, Dublin",0.0,", Apartment",https://www.myhome.ie/rentals/brochure/sean-mcdermott-street-apartments-sean-mcdermott-street-lower-dublin-1-dublin/4483891
4263,"Christchurch View, Christchurch, Dublin 8",0.0,Apartment,https://www.myhome.ie/rentals/brochure/christchurch-view-christchurch-dublin-8/4415413
3733,"39 Boroimhe Hawthorns, Swords,   North County Dublin",0.0,"2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/39-boroimhe-hawthorns-swords-north-county-dublin/4506069
4261,"Kenilworth Road, Rathmines, Dublin 6",0.0,Apartment,https://www.myhome.ie/rentals/brochure/kenilworth-road-rathmines-dublin-6/4419731
4262,"Cranford Court, Donnybrook, Dublin 4",0.0,Apartment,https://www.myhome.ie/rentals/brochure/cranford-court-donnybrook-dublin-4/4418145
4264,"St Peters Terrace, Walkinstown, Dublin 12",0.0,Terraced House,https://www.myhome.ie/rentals/brochure/st-peters-terrace-walkinstown-dublin-12/4414551
4265,"Leicester Avenue, Rathgar, Dublin 6",0.0,House,https://www.myhome.ie/rentals/brochure/leicester-avenue-rathgar-dublin-6/4414550
4267,"Bachelors walk, Dublin 1, Dublin",0.0,Apartment,https://www.myhome.ie/rentals/brochure/bachelors-walk-dublin-1-dublin/4411935
4082,"O'connell Street Lower, Dublin 1, Dublin, D01 HR04",0.0,Apartment,https://www.myhome.ie/rentals/brochure/o-connell-street-lower-dublin-1-dublin-d01-hr04/4501392
1979,"Twin Bed Sharing, Archway Court , 39A Mountjoy Street, Dublin 7",490.0,"1 bedroom (1 twin), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Twin-Bed-Sharing-Archway-Court--39A-Mountjoy-Street-Dublin-7/3504594/
3394,"Twin Bed Sharing, Archway Court , 39A Mountjoy Street, Dublin 7, Co. Dublin",490.0,"1 bedroom (1 twin), 3 bathrooms, furnished house",https://www.let.ie/short-term-rental/Twin-Bed-Sharing-Archway-Court--39A-Mountjoy-Street-Dublin-7-Co-Dublin/3504594
4332,"Archway Court, 39A Mountjoy Street, Dublin 7",490.0,"1 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-twin-bed-sharing-archway-court-39a-mountjoy-street-dublin-7/2868777
4334,"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",500.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
3528,"Hazelwood Student Village, Hazelwood Student Villa",500.0,"1 bedroom (1 single), 1 bathroom, furnished apartment",https://www.let.ie/short-term-rental/Hazelwood-Student-Village-Hazelwood-Student-Villa/2028085
2154,"Apartment, Hazelwood Student Village, Hazelwood Student Villa, Santry, Dublin 9",500.0,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-Hazelwood-Student-Village-Hazelwood-Student-Villa-Santry-Dublin-9/2028085/
4335,"43 North Circular Road, North Circular Road, Dublin 7",600.0,Studio,https://www.daft.ie//for-rent/studio-apartment-43-north-circular-road-north-circular-road-dublin-7/3423026
1471,"NELSOn, Dublin 1",600.0,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/NELSOn-Dublin-1/4987132/
732,"43 North Circular Road, North Circular Road, Dublin 7",600.0,studio apartment to rent,https://www.rent.ie/houses-to-let/43-North-Circular-Road-North-Circular-Road-Dublin-7/5362692/
4339,"NELSOn, Dublin 1",600.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-nelson-dublin-1/3248389
1546,"Camac Park, Bluebell, Dublin 12, Bluebell, Dublin 12",625.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Camac-Park-Bluebell-Dublin-12-Bluebell-Dublin-12/4885212/
4336,"Camac Park, Bluebell, Dublin 12",625.0,Studio,https://www.daft.ie//for-rent/studio-apartment-camac-park-bluebell-dublin-12/3230462
4338,"Melrose Avenue, Fairview",650.0,Studio,https://www.daft.ie//for-rent/studio-apartment-melrose-avenue-fairview/3436820
72,"Melrose Avenue, Fairview, Dublin 3",650.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Melrose-Avenue-Fairview-Dublin-3/5490161/
4091,"Emmet Place , South City Centre, Dublin 8",680.0,"1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/emmet-place-south-city-centre-dublin-8/4499610
348,"13 Parkview Avenue, Harold\'s Cross Road, Harold's Cross, Dublin 6",685.0,studio apartment to rent,https://www.rent.ie/houses-to-let/13-Parkview-Avenue-Harolds-Cross-Road-Harolds-Cross-Dublin-6/5453534/
4340,"13 Parkview Avenue, Harold's Cross Road, Harold's Cross, Dublin 6",685.0,Studio,https://www.daft.ie//for-rent/studio-apartment-13-parkview-avenue-harolds-cross-road-harolds-cross-dublin-6/3432824
4227,"Schoolhouse Lane, Dublin, Santry, Dublin 9",699.0,"1 bed, 90m 2, Apartment",https://www.myhome.ie/rentals/brochure/schoolhouse-lane-dublin-santry-dublin-9/4452711
4341,"Charleville Road, Phibsborough, Dublin 7",700.0,Studio,https://www.daft.ie//for-rent/studio-apartment-charleville-road-phibsborough-dublin-7/3260046
4342,"Watermill Grove, Old Bawn, Tallaght, Dublin 24",700.0,Studio,https://www.daft.ie//for-rent/studio-apartment-watermill-grove-old-bawn-tallaght-dublin-24/3230904
3732,"9 Watermill Grove, Oldbawn,   Dublin 24",700.0,"1 bed, 1 bath, 15m 2, , Studio",https://www.myhome.ie/rentals/brochure/9-watermill-grove-oldbawn-dublin-24/4502776
1545,"Upper Buckingham Street, Dublin 1",700.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Upper-Buckingham-Street-Dublin-1/4886243/
1513,"Leinster Street North, Phibsborough, Dublin 7",700.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Leinster-Street-North-Phibsborough-Dublin-7/4941459/
4351,"Santry Villas, Whitehall, Dublin 9",700.0,Studio,https://www.daft.ie//for-rent/studio-apartment-santry-villas-whitehall-dublin-9/3427198
4350,"Upper Buckingham Street, Dublin 1",700.0,Studio,https://www.daft.ie//for-rent/studio-apartment-upper-buckingham-street-dublin-1/3230644
1404,"Charleville Road, Phibsborough, Dublin 7",700.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Charleville-Road-Phibsborough-Dublin-7/5059431/
4343,"Leinster Street North, Phibsborough, Dublin 7",700.0,Studio,https://www.daft.ie//for-rent/studio-apartment-leinster-street-north-phibsborough-dublin-7/3237947
4352,"Cappagh Road, Finglas, Dublin 11",700.0,Studio,https://www.daft.ie//for-rent/studio-apartment-cappagh-road-finglas-dublin-11/3280072
1217,"Watermill Grove, Old Bawn, Tallaght, Dublin 24",700.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Watermill-Grove-Old-Bawn-Tallaght-Dublin-24/4887747/
1195,"Cappagh Road, Finglas, Dublin 11",700.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Cappagh-Road-Finglas-Dublin-11/5190336/
594,"Santry Villas, Whitehall, Dublin 9",700.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Santry-Villas-Whitehall-Dublin-9/5398768/
1132,"559 North Circular Road, Dublin 1",725.0,studio apartment to rent,https://www.rent.ie/houses-to-let/559-North-Circular-Road-Dublin-1/5227991/
4346,"559 North Circular Road, Dublin 1",725.0,Studio,https://www.daft.ie//for-rent/studio-apartment-559-north-circular-road-dublin-1/3285034
4356,"29 Saint Fintan Road, Cabra, Dublin 7",740.0,"1 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-29-saint-fintan-road-cabra-dublin-7/3239587
4386,"Mayor Square Student Living (NCI Campus), Mayor Street IFSC, Dublin 1",740.0,,https://www.daft.ie//for-rent/mayor-square-student-living-nci-campus-mayor-street-ifsc-dublin-1/2580776
4349,"North Circular Road, Pibsboro, Dublin 7",750.0,Studio,https://www.daft.ie//for-rent/studio-apartment-north-circular-road-pibsboro-dublin-7/3417073
895,"North Circular Road, Pibsboro, Dublin 7",750.0,studio apartment to rent,https://www.rent.ie/houses-to-let/North-Circular-Road-Pibsboro-Dublin-7/5311420/
1978,"Single Room, Archway Court , 39A Mountjoy Street, Dublin 7",750.0,"4 bedrooms (4 single), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Single-Room-Archway-Court--39A-Mountjoy-Street-Dublin-7/3504592/
113,"Grove Park, Rathmines, Dublin 6, Rathmines, Dublin 6",750.0,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Grove-Park-Rathmines-Dublin-6-Rathmines-Dublin-6/5482970/
3393,"Single Room, Archway Court , 39A Mountjoy Street, Dublin 7, Co. Dublin",750.0,"4 bedrooms (4 single), 3 bathrooms, furnished house",https://www.let.ie/short-term-rental/Single-Room-Archway-Court--39A-Mountjoy-Street-Dublin-7-Co-Dublin/3504592
4347,"Grove Park, Rathmines, Dublin 6",750.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/flat-grove-park-rathmines-dublin-6/3436171
4348,Philipsburgh Avenue,750.0,Studio,https://www.daft.ie//for-rent/studio-apartment-philipsburgh-avenue/3419218
4333,"Archway Court, 39A Mountjoy Street, Dublin 7",750.0,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-single-room-archway-court-39a-mountjoy-street-dublin-7/2868775
845,"Philipsburgh Avenue, Dublin 3",750.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Philipsburgh-Avenue-Dublin-3/5326020/
4362,"North Strand Road, North Strand, Dublin 3",760.0,Studio,https://www.daft.ie//for-rent/studio-apartment-north-strand-road-north-strand-dublin-3/3207298
4361,"Monastery Road, Clondalkin, Dublin 22",760.0,Studio,https://www.daft.ie//for-rent/studio-apartment-monastery-road-clondalkin-dublin-22/3267027
4360,"Harrington street, Portobello, Dublin 8",760.0,Studio,https://www.daft.ie//for-rent/studio-apartment-harrington-street-portobello-dublin-8/3229283
1679,"North Strand Road, North Strand, Dublin 3",760.0,studio apartment to rent,https://www.rent.ie/houses-to-let/North-Strand-Road-North-Strand-Dublin-3/4679795/
1558,"Harrington Street, Portobello, Dublin 8",760.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Harrington-Street-Portobello-Dublin-8/4873246/
1340,"Monastery Road, Clondalkin, Dublin 22",760.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Monastery-Road-Clondalkin-Dublin-22/5107183/
595,"Willow Park Avenue, Glasnevin, Dublin 11",780.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Willow-Park-Avenue-Glasnevin-Dublin-11/5398329/
4364,"Willow Park Avenue, Glasnevin, Dublin 11",780.0,Studio,https://www.daft.ie//for-rent/studio-apartment-willow-park-avenue-glasnevin-dublin-11/3427183
3974,"26 Áscaill Páirc An Tsíoda, Dublin 22, Co. Dublin, Citywest, Dublin",795.0,"1 bed, 1 bath, , Studio",https://www.myhome.ie/rentals/brochure/26-scaill-p-irc-an-ts-oda-dublin-22-co-dublin-citywest-dublin/4474340
2074,"Single Room, Jbs Student Campus, Dublin 7, JB's Student Campus, Dublin 7",796.0,"5 bedrooms (2 single, 2 double, 1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Single-Room-Jbs-Student-Campus-Dublin-7-JBs-Student-Campus-Dublin-7/2071753/
4331,"JBs Student Campus, Dublin 7, JB's Student Campus",796.0,"5 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-single-room-jbs-student-campus-dublin-7-jbs-student-campus/2580819
3462,"Single room, JBs Student Campus, Dublin 7, JB's Student Campus, Dublin 7, Co. Dublin",796.0,"5 bedrooms (2 single, 2 double, 1 twin), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/Single-room-JBs-Student-Campus-Dublin-7-JBs-Student-Campus-Dublin-7-Co-Dublin/2071753
2062,"Synge Street, Portobello, Dublin 8",800.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Synge-Street-Portobello-Dublin-8/2087019/
1461,"Leixlip Road, Lucan, Co. Dublin",800.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Leixlip-Road-Lucan-Co-Dublin/5004153/
784,"Willow Park Grove, Glasnevin, Glasnevin, Dublin 11",800.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Willow-Park-Grove-Glasnevin-Glasnevin-Dublin-11/5346466/
2767,"Willow Park Grove, Glasnevin",800.0,furnished studio,https://www.let.ie/property-to-rent/Willow-Park-Grove-Glasnevin/5346466
593,"Norfolk Road, Cabra, Dublin 7",800.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Norfolk-Road-Cabra-Dublin-7/5398765/
4353,"Trasnagh, Newcastle Road, Lucan, Co. Dublin",800.0,Studio,https://www.daft.ie//for-rent/studio-apartment-trasnagh-newcastle-road-lucan-co-dublin/3421291
4370,"Leixlip Road, Lucan, Co. Dublin",800.0,Studio,https://www.daft.ie//for-rent/studio-apartment-leixlip-road-lucan-co-dublin/3250837
2771,"Trasnagh, Newcastle Road",800.0,furnished studio,https://www.let.ie/property-to-rent/Trasnagh-Newcastle-Road/5344886
4355,"Synge Street, Portobello, Dublin 8",800.0,Studio,https://www.daft.ie//for-rent/studio-apartment-synge-street-portobello-dublin-8/2606755
4354,"Willow Park Grove, Glasnevin, Dublin 11",800.0,Studio,https://www.daft.ie//for-rent/studio-apartment-willow-park-grove-glasnevin-dublin-11/3421433
790,"Trasnagh, Newcastle Road, Lucan, Co. Dublin",800.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Trasnagh-Newcastle-Road-Lucan-Co-Dublin/5344886/
4371,"Pinebrook Grove, Artane, Dublin 5",800.0,Studio,https://www.daft.ie//for-rent/studio-apartment-pinebrook-grove-artane-dublin-5/3422397
753,"Pinebrook Grove, Artane, Dublin 5",800.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Pinebrook-Grove-Artane-Dublin-5/5356951/
4369,"Norfolk Road, Cabra, Dublin 7",800.0,Studio,https://www.daft.ie//for-rent/studio-apartment-norfolk-road-cabra-dublin-7/3427192
493,"Corrig Avenue, Dun Laoghaire, Co. Dublin",820.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Corrig-Avenue-Dun-Laoghaire-Co-Dublin/5424280/
1501,"15 New Cabra Road, Phibsborough, Dublin 7",820.0,studio apartment to rent,https://www.rent.ie/houses-to-let/15-New-Cabra-Road-Phibsborough-Dublin-7/4953851/
4358,"4 New Cabra Road, North Circular Road, Dublin 1",820.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-4-new-cabra-road-north-circular-road-dublin-1/3207445
1681,"4 New Cabra Road, North Circular Road, Dublin 1",820.0,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/4-New-Cabra-Road-North-Circular-Road-Dublin-1/4679908/
4359,"Corrig Avenue, Dun Laoghaire, Co. Dublin",820.0,Studio,https://www.daft.ie//for-rent/studio-apartment-corrig-avenue-dun-laoghaire-co-dublin/3429889
4357,"15 New Cabra Road, Phibsborough, Dublin 7",820.0,Studio,https://www.daft.ie//for-rent/studio-apartment-15-new-cabra-road-phibsborough-dublin-7/3239943
1863,"Marlborough Road, North Circular Road, Dublin 7",830.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Marlborough-Road-North-Circular-Road-Dublin-7/4142364/
4363,"Marlborough Road, North Circular Road, Dublin 7",830.0,Studio,https://www.daft.ie//for-rent/studio-apartment-marlborough-road-north-circular-road-dublin-7/3151930
2192,"Twin Ensuite, Dorset Point, 107 Dorset Street Upper, Dublin 1",840.0,"2 bedrooms (2 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Twin-Ensuite-Dorset-Point-107-Dorset-Street-Upper-Dublin-1/2020391/
4387,"Stormanstown Road, Glasnevin, Dublin 11",840.0,Studio,https://www.daft.ie//for-rent/studio-apartment-stormanstown-road-glasnevin-dublin-11/3275837
1269,"Stormanstown Road, Glasnevin, Glasnevin, Dublin 11",840.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Stormanstown-Road-Glasnevin-Glasnevin-Dublin-11/5161890/
3566,"Dorset Point, 107 Dorset Street Upper",840.0,"2 bedrooms (2 twin), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Dorset-Point-107-Dorset-Street-Upper/2020391
4384,"Dorset Point, 107 Dorset Street Upper, Dublin 1",840.0,"2 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-twin-ensuite-dorset-point-107-dorset-street-upper-dublin-1/2294091
781,"Beechwood Avenue Lower, Ranelagh, Dublin 6",850.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Beechwood-Avenue-Lower-Ranelagh-Dublin-6/5348243/
4365,"Howth Road, Clontarf, Dublin 3",850.0,Studio,https://www.daft.ie//for-rent/studio-apartment-howth-road-clontarf-dublin-3/3424587
672,"Howth Road, Clontarf, Dublin 3",850.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Howth-Road-Clontarf-Dublin-3/5379999/
1038,"Dunville Avenue, Ranelagh, Dublin 6",850.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Dunville-Avenue-Ranelagh-Dublin-6/5150205/
2764,Beechwood Avenue Lower,850.0,furnished studio,https://www.let.ie/property-to-rent/Beechwood-Avenue-Lower/5348243
525,"Shanard Road, Santry, Co. Dublin",850.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Shanard-Road-Santry-Co-Dublin/5416681/
4366,"DUNVILLE Avenue, Ranelagh, Dublin 6",850.0,Studio,https://www.daft.ie//for-rent/studio-apartment-dunville-avenue-ranelagh-dublin-6/3273875
4367,"shanard road, Santry, Co. Dublin",850.0,Studio,https://www.daft.ie//for-rent/studio-apartment-shanard-road-santry-co-dublin/3429083
4368,"Beechwood Avenue Lower, Ranelagh, Dublin 6",850.0,Studio,https://www.daft.ie//for-rent/studio-apartment-beechwood-avenue-lower-ranelagh-dublin-6/3421511
4390,"GHR, South Circular Road, Dublin 8",852.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-single-room-shared-bathroom-south-circular-road-dublin-8-co-dublin/3225139
1590,"Single Room Shared Bathroom, South Circular Road, Dublin 8, Co. Dublin",852.0,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Single-Room-Shared-Bathroom-South-Circular-Road-Dublin-8-Co-Dublin/4836152/
3192,"Single room shared bathroom, South Circular Road, Dublin 8, Co. Dublin",852.0,"1 bedroom (1 single), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Single-room-shared-bathroom-South-Circular-Road-Dublin-8-Co-Dublin/4836152
3606,"Heritage Room - 2021/22 Tenancy, Highlight Thomas Street, 32 Thomas Street, Dublin 8, Co. Dublin",860.0,"8 bedrooms (8 double), 4 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Heritage-Room---202122-Tenancy-Highlight-Thomas-Street-32-Thomas-Street-Dublin-8-Co-Dublin/3317421
2233,"Heritage Room - 2021/22 Tenancy, Highlight Thomas Street, 32 Thomas Street, Dublin 8",860.0,"8 bedrooms (8 double), 4 bathrooms, furnished",https://www.rent.ie/houses-to-let/Heritage-Room---202122-Tenancy-Highlight-Thomas-Street-32-Thomas-Street-Dublin-8/3317421/
4393,"Highlight Thomas Street, 32 Thomas Street, Dublin 8",860.0,"8 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-heritage-room-2021-22-tenancy-highlight-thomas-street-32-thomas-street-dublin-8/2840992
3581,"From Here - Student Living, Blackhall Place, Black",872.0,"1 bedroom (1 twin), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/From-Here---Student-Living-Blackhall-Place-Black/2019042
4396,"From Here - Student Living, Blackhall Place, Dublin 7",872.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-twin-en-suite-shared-bathroom-2020-21-tenancy-from-here-student-living-blackhall-place-black-dublin-7/2292366
2208,"Twin En Suite Shared Bathroom - 2020/21 Tenancy, From Here - Student Living, Blackhall Place, Black, Dublin 7",872.0,"1 bedroom (1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Twin-En-Suite-Shared-Bathroom---202021-Tenancy-From-Here---Student-Living-Blackhall-Place-Black-Dublin-7/2019042/
789,"Trasnagh, Newcastle Road, Lucan, Co. Dublin",875.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Trasnagh-Newcastle-Road-Lucan-Co-Dublin/5344875/
4372,"Trasnagh, Newcastle Road, Lucan, Co. Dublin",875.0,Studio,https://www.daft.ie//for-rent/studio-apartment-trasnagh-newcastle-road-lucan-co-dublin/3421274
2240,"Heritage Room - 2020/21 Tenancy, Highlight Thomas Street, 32 Thomas Street, Dublin 8",880.0,"8 bedrooms (8 double), 4 bathrooms, furnished",https://www.rent.ie/houses-to-let/Heritage-Room---202021-Tenancy-Highlight-Thomas-Street-32-Thomas-Street-Dublin-8/2018789/
4373,"Cabra Park, Phibsborough, Dublin 7",880.0,Studio,https://www.daft.ie//for-rent/studio-apartment-cabra-park-phibsborough-dublin-7/3247751
2217,"Twin En Suite Shared Bathroom 2021/22 Tenancy, From Here - Student Living, Blackhall Place, Black, Dublin 7",880.0,"1 bedroom (1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Twin-En-Suite-Shared-Bathroom-202122-Tenancy-From-Here---Student-Living-Blackhall-Place-Black-Dublin-7/3711996/
2195,"Copper Ensuite, Dorset Point, 107 Dorset Street Upper, Dublin 1",880.0,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Copper-Ensuite-Dorset-Point-107-Dorset-Street-Upper-Dublin-1/4269030/
4385,"Dorset Point, 107 Dorset Street Upper, Dublin 1",880.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-copper-ensuite-dorset-point-107-dorset-street-upper-dublin-1/3164550
3590,"Twin En Suite Shared Bathroom 2021/22 Tenancy , From Here - Student Living, Blackhall Place, Black, Dublin 7, Co. Dublin",880.0,"1 bedroom (1 twin), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Twin-En-Suite-Shared-Bathroom-202122-Tenancy--From-Here---Student-Living-Blackhall-Place-Black-Dublin-7-Co-Dublin/3711996
3569,"Copper Ensuite, Dorset Point, 107 Dorset Street Upper, Dublin 1, Co. Dublin",880.0,"1 bedroom (1 single), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Copper-Ensuite-Dorset-Point-107-Dorset-Street-Upper-Dublin-1-Co-Dublin/4269030
4408,"Lucan Road, Chapelizod, Dublin 20",880.0,Studio,https://www.daft.ie//for-rent/studio-apartment-lucan-road-chapelizod-dublin-20/3427168
1477,"Cabra Park, Phibsborough, Dublin 7",880.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Cabra-Park-Phibsborough-Dublin-7/4982403/
4394,"Highlight Thomas Street, 32 Thomas Street, Dublin 8",880.0,"8 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-heritage-room-2020-21-tenancy-highlight-thomas-street-32-thomas-street-dublin-8/2292139
596,"Lucan Road, Chapelizod, Dublin 20",880.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Lucan-Road-Chapelizod-Dublin-20/5397890/
4397,"From Here - Student Living, Blackhall Place, Dublin 7",880.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-twin-en-suite-shared-bathroom-2021-22-tenancy-from-here-student-living-blackhall-place-black-dublin-7/2900593
4374,"Belgravia, 12A Garville Road, Rathgar, Dublin 6",885.0,Studio,https://www.daft.ie//for-rent/studio-apartment-belgravia-12a-garville-road-rathgar-dublin-6/3267184
1338,"Belgravia, 12a Garville Road, Rathgar, Dublin 6",885.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Belgravia-12a-Garville-Road-Rathgar-Dublin-6/5109245/
1318,"Citywest Golf Hotel, Garters Lane, Citywest, Co. Dublin",895.0,studio apartment to rent,https://www.rent.ie/houses-to-let/Citywest-Golf-Hotel-Garters-Lane-Citywest-Co-Dublin/5118500/
4375,"Citywest Golf Hotel, Garters Lane, Citywest, Co. Dublin",895.0,Studio,https://www.daft.ie//for-rent/studio-apartment-citywest-golf-hotel-garters-lane-citywest-co-dublin/3268463
3066,"Citywest Golf Hotel, Garters Lane",895.0,furnished studio,https://www.let.ie/property-to-rent/Citywest-Golf-Hotel-Garters-Lane/5118500
3507,"Brickworks, Brickfield Lane",896.0,"6 bedrooms (6 twin), 6 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Brickworks-Brickfield-Lane/2029426
4409,"Brickworks, Brickfield Lane, Dublin 8",896.0,"6 Bed, 6 Bath, Apartment",https://www.daft.ie//for-rent/apartment-twin-en-suite-2020-21-tenancy-brickworks-brickfield-lane-dublin-8/2318547
2133,"Twin En Suite - 2020/21 Tenancy, Brickworks, Brickfield Lane, Dublin 8",896.0,"6 bedrooms (6 twin), 6 bathrooms, furnished",https://www.rent.ie/houses-to-let/Twin-En-Suite---202021-Tenancy-Brickworks-Brickfield-Lane-Dublin-8/2029426/
4383,"299 Swords Road, Whitehall, Santry, Dublin 9",900.0,Studio,https://www.daft.ie//for-rent/studio-apartment-299-swords-road-whitehall-santry-dublin-9/3429677
1256,"1 Fortunestown Close, Tallaght, Dublin 24",900.0,studio apartment to rent,https://www.rent.ie/houses-to-let/1-Fortunestown-Close-Tallaght-Dublin-24/5165183/
2937,"31A woodlawn walk santry, Santry, Dublin 9, Co. Dublin",900.0,"5 bedrooms (3 single, 2 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/31A-woodlawn-walk-santry-Santry-Dublin-9-Co-Dublin/5239373
4169,"Ballymun Road, Ballymun, Dublin 11",900.0,"7 beds, 7 baths, 12m 2, , Apartment",https://www.myhome.ie/rentals/brochure/ballymun-road-ballymun-dublin-11/4431849
1160,"7 Elmwood, Clonsilla, Clonsilla, Dublin 15",900.0,studio apartment to rent,https://www.rent.ie/houses-to-let/7-Elmwood-Clonsilla-Clonsilla-Dublin-15/5212414/
4382,"Mount Eagle rise, Sandyford, Dublin 18",900.0,Studio,https://www.daft.ie//for-rent/studio-apartment-mount-eagle-rise-sandyford-dublin-18/3428349
4051,"Aylmer Road, Newcastle, Dublin",900.0,"1 bed, , Studio",https://www.myhome.ie/rentals/brochure/aylmer-road-newcastle-dublin/4504480
4381,"59 Mayston Court, St Margarets Road, Finglas, Dublin 11",900.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-59-mayston-court-st-margarets-road-finglas-dublin-11/3415288
4380,"Carna road, Ballyfermot, Dublin 10",900.0,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-carna-road-ballyfermot-dublin-10/3195630
4376,"7 Elmwood, Clonsilla, Dublin 15",900.0,Studio,https://www.daft.ie//for-rent/studio-apartment-7-elmwood-clonsilla-dublin-15/3282907
4379,"Manor Road, Palmerstown, Dublin 20",900.0,Studio,https://www.daft.ie//for-rent/studio-apartment-manor-road-palmerstown-dublin-20/2870617
1084,"31a Woodlawn Walk Santry, Santry, Dublin 9",900.0,"5 bedrooms (3 single, 2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/31a-Woodlawn-Walk-Santry-Santry-Dublin-9/5239373/
4377,"Lower Rathmines Road, Rathmines, Dublin 6",900.0,Studio,https://www.daft.ie//for-rent/studio-apartment-lower-rathmines-road-rathmines-dublin-6/2598506
